collegeAthleteId,collegeId,collegeTeam,collegeConference,nflTeam,year,name
4243186,38,Colorado,Pac-12,New England,2021,William Sherman
4241205,142,Missouri,SEC,Los Angeles,2021,Larry Rountree III
4240716,221,Pittsburgh,ACC,Minnesota,2021,Jaylen Twyman
4567979,96,Kentucky,SEC,New York,2021,Brandin Echols
4038430,197,Oklahoma State,Big 12,New York,2021,Rodarius Williams
4046530,130,Michigan,Big Ten,Cincinnati,2021,Chris Evans
4039307,248,Houston,American Athletic,Buffalo,2021,Marquez Stevenson
4259499,2579,South Carolina,SEC,Carolina,2021,Shi Smith
4242231,99,LSU,SEC,Tennessee,2021,Racey McMath
4035079,96,Kentucky,SEC,New Orleans,2021,Landon Young
4035590,8,Arkansas,SEC,New York,2021,Jonathan Marshall
4034962,57,Florida,SEC,Seattle,2021,Stone Forsythe
4037311,59,Georgia Tech,ACC,Jacksonville,2021,Jalen Camp
4240464,150,Duke,ACC,Arizona,2021,Victor Dimukeje
4035826,26,UCLA,Pac-12,Cleveland,2021,Demetric Felton
4036060,221,Pittsburgh,ACC,Buffalo,2021,Damar Hamlin
4372560,275,Wisconsin,Big Ten,Buffalo,2021,Rachad Wildgoose
4035791,275,Wisconsin,Big Ten,Green Bay,2021,Cole Van Lanen
4038944,2483,Oregon,Pac-12,Tennessee,2021,Brady Breeze
4044145,2390,Miami,ACC,Pittsburgh,2021,Quincy Roche
4035886,259,Virginia Tech,ACC,Chicago,2021,Khalil Herbert
4241820,251,Texas,Big 12,Indianapolis,2021,Sam Ehlinger
4371974,2,Auburn,SEC,Denver,2021,Seth Williams
4239947,103,Boston College,ACC,Green Bay,2021,Isaiah McDuffie
4240661,153,North Carolina,ACC,Chicago,2021,Dazz Newsome
4241455,333,Alabama,SEC,Carolina,2021,Thomas Fletcher
4568981,2116,UCF,American Athletic,Arizona,2021,Tay Gowan
4242204,99,LSU,SEC,Philadelphia,2021,JaCoby Stevens
4046543,130,Michigan,Big Ten,Washington,2021,Camaron Cheeseman
4242459,2633,Tennessee,SEC,Kansas City,2021,Trey Smith
4362855,2579,South Carolina,SEC,Dallas,2021,Israel Mukuamu
4242485,2483,Oregon,Pac-12,Chicago,2021,Thomas Graham Jr.
4589245,2128,Charleston (WV),Mountain East,Indianapolis,2021,Mike Strachan
4046165,221,Pittsburgh,ACC,Las Vegas,2021,Jimmy Morrissey
4044519,113,UMass,FBS Independents,Miami,2021,Larnel Coleman
4259989,96,Kentucky,SEC,Carolina,2021,Phil Hoskins
4036224,120,Maryland,Big Ten,Los Angeles,2021,Jake Funk
4243916,2655,Tulane,American Athletic,Philadelphia,2021,Patrick Johnson
4241344,2306,Kansas State,Big 12,Cincinnati,2021,Wyatt Hubert
4241844,2641,Texas Tech,Big 12,Buffalo,2021,Jack Anderson
4242211,99,LSU,SEC,Denver,2021,Kary Vincent Jr.
4034843,158,Nebraska,Big Ten,Dallas,2021,Matt Farniok
4040608,194,Ohio State,Big Ten,Denver,2021,Jonathon Cooper
