season,season_type,start_date,completed,home_id,home_team,home_conference,home_division,home_points,home_line_scores[0],home_line_scores[1],home_line_scores[2],home_line_scores[3],away_id,away_team,away_conference,away_division,away_points,away_line_scores[0],away_line_scores[1],away_line_scores[2],away_line_scores[3],start_time_tbd,venue_id,venue
2022,regular,2022-09-17T19:30:00.000Z,true,59,Georgia Tech,ACC,fbs,0,0,0,0,0,145,Ole Miss,SEC,fbs,42,14,7,21,0,false,721,Bobby Dodd Stadium at Historic Grant Field
2022,regular,2022-09-17T19:30:00.000Z,true,2,Auburn,SEC,fbs,12,3,3,0,6,213,Penn State,Big Ten,fbs,41,7,7,17,10,false,3785,Jordan-Hare Stadium
2022,regular,2022-09-17T19:30:00.000Z,true,322,Lafayette,Patriot,fcs,7,7,0,0,0,2729,William & Mary,CAA,fcs,34,14,3,10,7,false,3721,Fisher Field
2022,regular,2022-09-17T19:30:00.000Z,true,2483,Oregon,Pac-12,fbs,41,10,14,14,3,252,BYU,FBS Independents,fbs,20,0,7,0,13,false,3626,Autzen Stadium
2022,regular,2022-09-17T19:30:00.000Z,true,2459,Northern Illinois,Mid-American,fbs,28,7,14,7,0,238,Vanderbilt,SEC,fbs,38,7,7,21,3,false,3764,Brigham Field at Huskie Stadium
2022,regular,2022-09-17T19:30:00.000Z,true,5,UAB,Conference USA,fbs,35,7,14,0,14,290,Georgia Southern,Sun Belt,fbs,21,0,7,7,7,false,7221,Protective Stadium
2022,regular,2022-09-17T19:30:00.000Z,true,135,Minnesota,Big Ten,fbs,49,14,21,7,7,38,Colorado,Pac-12,fbs,7,0,0,0,7,false,3953,TCF Bank Stadium
2022,regular,2022-09-17T19:30:00.000Z,true,113,UMass,FBS Independents,fbs,20,7,10,3,0,2619,Stony Brook,CAA,fcs,3,0,3,0,0,false,3985,Warren McGuirk Alumni Stadium
2022,regular,2022-09-17T20:00:00.000Z,true,333,Alabama,SEC,fbs,63,28,7,14,14,2433,Louisiana Monroe,Sun Belt,fbs,7,0,7,0,0,false,3657,Bryant Denny Stadium
2022,regular,2022-09-17T20:00:00.000Z,true,248,Houston,American Athletic,fbs,30,14,0,13,3,2305,Kansas,Big 12,fbs,48,14,14,14,6,false,4728,John O'Quinn Field at TDECU Stadium
2022,regular,2022-09-17T20:00:00.000Z,true,2464,Northern Arizona,Big Sky,fcs,24,7,7,0,10,155,North Dakota,MVFC,fcs,27,0,13,0,14,false,2023,Walkup Skydome
2022,regular,2022-09-17T20:00:00.000Z,true,68,Boise State,Mountain West,fbs,30,7,13,0,10,2630,UT Martin,OVC,fcs,7,7,0,0,0,false,3653,Albertsons Stadium
2022,regular,2022-09-17T20:00:00.000Z,true,203,Linfield,Northwest,iii,21,7,7,7,0,29,Redlands,So. Cal.,iii,3,3,0,0,0,false,5119,Maxwell Field
2022,regular,2022-09-17T20:00:00.000Z,true,101784,Erskine,South Atlantic,ii,20,0,0,13,7,2331,Lenoir-Rhyne,South Atlantic,ii,42,7,21,14,0,false,7076,J.W. Babb Stadium
2022,regular,2022-09-17T20:00:00.000Z,true,2710,Western Illinois,MVFC,fcs,10,0,3,0,7,253,Southern Utah,Western Athletic,fcs,17,10,0,0,7,false,3746,Hanson Field
2022,regular,2022-09-17T20:00:00.000Z,true,2681,Wagner,NEC,fcs,7,7,0,0,0,2598,St Francis (PA),NEC,fcs,27,7,7,10,3,false,3979,Wagner College Stadium
2022,regular,2022-09-17T20:00:00.000Z,true,418,Hendrix College,Southern Athletic,iii,10,3,0,0,7,2758,Howard Payne,American Southwest,iii,67,6,30,14,17,false,7232,Children's Health Stadium
2022,regular,2022-09-17T20:00:00.000Z,true,2570,Colorado State-Pueblo,Rocky Mountain,ii,10,3,7,0,0,2714,Western State,Rocky Mountain,ii,17,7,0,0,10,false,4852,Neta and Eddie DeRose ThunderBowl
2022,regular,2022-09-17T20:00:00.000Z,true,2829,Simon Fraser,Lone Star,ii,7,0,0,7,0,2120,Central Washington,Lone Star,ii,40,6,28,3,3,false,3728,Terry Fox Field
2022,regular,2022-09-17T20:00:00.000Z,true,2721,Whitworth,Northwest,iii,12,0,5,0,7,17,Claremont,So. Cal.,iii,7,0,7,0,0,false,6148,The Pine Bowl
2022,regular,2022-09-17T21:00:00.000Z,true,2582,Southern,SWAC,fcs,0,0,0,0,0,2640,Texas Southern,SWAC,fcs,24,14,7,0,3,false,6269,Globe Life Field
2022,regular,2022-09-17T21:00:00.000Z,true,2460,Northern Iowa,MVFC,fcs,21,7,0,14,0,16,Sacramento State,Big Sky,fcs,37,7,17,3,10,false,3967,UNI-Dome
2022,regular,2022-09-17T21:00:00.000Z,true,2528,Rensselaer,Liberty League,iii,37,13,7,7,10,2749,Worcester Polytechnic,NEWMAC,iii,0,0,0,0,0,false,6107,ECAV Stadium
2022,regular,2022-09-17T21:00:00.000Z,true,189,Bowling Green,Mid-American,fbs,34,0,21,0,7,276,Marshall,Sun Belt,fbs,31,14,7,0,7,false,3700,Doyt Perry Stadium
2022,regular,2022-09-17T21:00:00.000Z,true,154,Wake Forest,ACC,fbs,37,3,17,0,17,2335,Liberty,FBS Independents,fbs,36,0,8,15,13,false,3630,BB&T Field
2022,regular,2022-09-17T21:00:00.000Z,true,265,Washington State,Pac-12,fbs,38,21,7,3,7,36,Colorado State,Mountain West,fbs,7,0,0,0,7,false,3820,Martin Stadium
2022,regular,2022-09-17T22:00:00.000Z,true,2403,Missouri Southern State,Mid America,ii,40,10,7,3,20,2122,Central Oklahoma,Mid America,ii,21,7,0,7,7,false,6054,Fred G. Hughes Stadium
2022,regular,2022-09-17T22:00:00.000Z,true,2676,Virginia Union,CIAA,ii,42,21,0,14,7,2940,Livingstone,CIAA,ii,6,0,0,6,0,false,6032,Hovey Field
2022,regular,2022-09-17T22:00:00.000Z,true,2839,Tusculum,South Atlantic,ii,10,0,3,7,0,351,Wingate,South Atlantic,ii,27,10,7,3,7,false,6078,Pioneer Field (TN)
2022,regular,2022-09-17T22:00:00.000Z,true,112334,Franklin Pierce,Northeast 10,ii,0,0,0,0,0,2830,St. Anselm,Northeast 10,ii,27,6,6,6,9,false,6211,Sodexo Field
2022,regular,2022-09-17T22:00:00.000Z,true,99,LSU,SEC,fbs,31,0,7,3,21,344,Mississippi State,SEC,fbs,16,6,7,3,0,false,3958,Tiger Stadium
2022,regular,2022-09-17T22:00:00.000Z,true,2368,Marist,Pioneer,fcs,3,0,0,0,3,171,Columbia,Ivy,fcs,38,21,10,7,0,false,36,Leonidoff Field
2022,regular,2022-09-17T22:00:00.000Z,true,437,Lake Erie College,Great Midwest Athletic,ii,37,7,10,7,13,2816,McKendree,Great Lakes,ii,38,16,0,6,16,false,3769,Jack Britt Memorial Stadium
2022,regular,2022-09-17T22:00:00.000Z,true,150,Duke,ACC,fbs,49,21,7,14,7,2448,North Carolina A&T,Big South,fcs,20,0,6,0,14,false,3982,Wallace Wade Stadium
2022,regular,2022-09-17T22:00:00.000Z,true,151,East Carolina,American Athletic,fbs,49,7,14,21,7,2097,Campbell,Big South,fcs,10,10,0,0,0,false,3699,Dowdy-Ficklen Stadium
2022,regular,2022-09-17T22:00:00.000Z,true,131,Wayne State (MI),GLIAC,ii,21,7,7,7,0,2740,Wisconsin-La Crosse,Wisconsin,iii,28,0,21,0,7,false,3600,Tom Adams Field
2022,regular,2022-09-17T22:00:00.000Z,true,2413,Morehead State,Pioneer,fcs,49,28,0,7,14,3077,Kentucky Christian,,,14,7,7,0,0,false,3774,Jayne Stadium
2022,regular,2022-09-17T22:00:00.000Z,true,236,Chattanooga,Southern,fcs,41,7,20,0,14,2453,North Alabama,Atlantic Sun,fcs,14,0,14,0,0,false,3720,Finley Stadium
2022,regular,2022-09-17T22:00:00.000Z,true,2210,Elon,CAA,fcs,30,13,7,7,3,2241,Gardner-Webb,Big South,fcs,24,3,21,0,0,false,3894,Rhodes Stadium
2022,regular,2022-09-17T22:00:00.000Z,true,2198,Eastern Kentucky,Atlantic Sun,fcs,40,16,0,17,7,2127,Charleston Southern,Big South,fcs,17,0,10,0,7,false,3908,Roy Kidd Stadium
2022,regular,2022-09-17T22:00:00.000Z,true,2047,Averett,Old Dominion,iii,23,3,3,3,14,2913,Brevard College,USA South,iii,6,0,0,0,6,false,5799,Daly Field at Frank R. Campbell Stadium
2022,regular,2022-09-17T22:00:00.000Z,true,2074,Bluffton,Heartland,iii,23,3,7,0,13,2003,Adrian,Michigan,iii,58,14,24,14,6,false,5805,Alumni Field (OH)
2022,regular,2022-09-17T22:00:00.000Z,true,160,New Hampshire,CAA,fcs,27,7,14,0,6,2428,North Carolina Central,MEAC,fcs,45,21,7,10,7,false,3688,Wildcat Stadium
2022,regular,2022-09-17T22:00:00.000Z,true,330,Virginia State,CIAA,ii,42,7,7,7,21,395,St. Augustine's,CIAA,ii,7,7,0,0,0,false,3904,Rogers Stadium (VA)
2022,regular,2022-09-17T22:00:00.000Z,true,2382,Mercer,Southern,fcs,17,0,0,14,3,2643,The Citadel,Southern,fcs,0,0,0,0,0,false,4417,Five Star Stadium at the Moye Complex
2022,regular,2022-09-17T22:00:00.000Z,true,2023,Anderson (IN),Heartland,iii,7,0,0,7,0,2800,Alma College,Michigan,iii,45,21,14,0,10,false,5793,Macholtz Stadium
2022,regular,2022-09-17T23:00:00.000Z,true,2534,Sam Houston State,Western Athletic,fcs,27,3,7,7,10,2837,Texas A&M-Commerce,Southland,fcs,17,0,0,7,10,false,3647,Bowers Stadium
2022,regular,2022-09-17T23:00:00.000Z,true,2545,Southeastern Louisiana,Southland,fcs,70,14,34,10,12,2115,Central Connecticut,NEC,fcs,6,0,0,6,0,false,3944,Strawberry Stadium
2022,regular,2022-09-17T23:00:00.000Z,true,191,Heidelberg,Ohio,iii,37,7,3,13,14,427,Ohio Northern,Ohio,iii,3,3,0,0,0,false,5854,Hoernemann Stadium
2022,regular,2022-09-17T23:00:00.000Z,true,2371,Mary Hardin-Baylor,American Southwest,iii,68,21,27,13,7,2588,Southwestern University,American Southwest,iii,14,0,0,7,7,false,4463,Crusader Stadium
2022,regular,2022-09-17T23:00:00.000Z,true,2849,Westminster PA,Presidents',iii,42,14,7,21,0,2018,Allegheny,Presidents',iii,14,0,7,0,7,false,6146,Memorial Field (PA)
2022,regular,2022-09-17T23:00:00.000Z,true,2815,Lindenwood,OVC,fcs,37,7,21,0,9,126110,Keiser University,,,3,3,0,0,0,false,3749,Hunter Stadium
2022,regular,2022-09-17T23:00:00.000Z,true,2635,Tennessee Tech,OVC,fcs,28,14,7,0,7,2535,Samford,Southern,fcs,33,10,7,7,9,false,3962,Tucker Stadium
2022,regular,2022-09-17T23:00:00.000Z,true,2741,Wisconsin Lutheran,NACC,iii,25,10,6,3,6,6353,Lakeland University,NACC,iii,21,14,7,0,0,false,5913,Warrior Field at Raabe Stadium
2022,regular,2022-09-17T23:00:00.000Z,true,2504,Prairie View,SWAC,fcs,14,7,0,0,7,2916,Incarnate Word,Southland,fcs,31,14,6,11,0,false,5238,Panther Stadium
2022,regular,2022-09-17T23:00:00.000Z,true,2963,Case Western Reserve,Presidents',iii,14,0,7,0,7,2686,Washington & Jefferson,Presidents',iii,10,0,0,0,10,false,3671,Case Field
2022,regular,2022-09-17T23:00:00.000Z,true,2723,UW-River Falls,Wisconsin,iii,63,14,14,7,28,583,Northwestern (MN),Upper Midwest,iii,27,0,6,7,14,false,5901,David Smith Stadium at Ramer Field
2022,regular,2022-09-17T23:00:00.000Z,true,2571,South Dakota State,MVFC,fcs,45,14,14,3,14,2086,Butler,Pioneer,fcs,17,7,0,0,10,false,5237,Coughlin-Alumni Stadium
2022,regular,2022-09-17T23:00:00.000Z,true,2339,Lincoln (PA),CIAA,ii,7,,,,,2220,Fayetteville State,CIAA,ii,19,,,,,false,3808,Lincoln University Stadium
2022,regular,2022-09-17T23:00:00.000Z,true,396,Wheaton College (Ill),CCIW,iii,42,21,21,0,0,306,Illinois Wesleyan,CCIW,iii,7,0,7,0,0,false,5115,McCully Stadium
2022,regular,2022-09-17T23:00:00.000Z,true,2743,Wisconsin-Stevens Point,Wisconsin,iii,35,7,13,15,0,2564,Simpson College,American Rivers,iii,14,0,0,14,0,false,5903,Community Stadium at Goerke Park
2022,regular,2022-09-17T23:00:00.000Z,true,32,Carroll (WI),Midwest,iii,42,7,14,14,7,75,North Park,CCIW,iii,0,0,0,0,0,false,5815,Schneider Stadium
2022,regular,2022-09-17T23:00:00.000Z,true,2166,Davidson,Pioneer,fcs,56,28,14,14,0,111610,St. Andrews,,,6,0,6,0,0,false,3897,Richardson Stadium
2022,regular,2022-09-17T23:00:00.000Z,true,425,Northern State,Northern Sun,ii,23,0,10,10,3,2364,Minnesota State,Northern Sun,ii,22,0,0,0,22,false,3951,Swisher Field
2022,regular,2022-09-17T23:00:00.000Z,true,2396,Miles,SIAC,ii,7,0,7,0,0,2673,Valdosta State,Gulf South,ii,55,7,13,14,21,false,6027,Albert J. H. Sloan - Alumni Stadium
2022,regular,2022-09-17T23:00:00.000Z,true,386,Trinity (TX),Southern Athletic,iii,52,14,10,21,7,2639,Texas Lutheran,American Southwest,iii,14,0,7,0,7,false,6132,Trinity University Stadium
2022,regular,2022-09-17T23:00:00.000Z,true,134,Minnesota-Duluth,Northern Sun,ii,28,7,14,0,7,389,Upper Iowa,Northern Sun,ii,6,0,6,0,0,false,6051,James S. Malosky Stadium
2022,regular,2022-09-17T23:00:00.000Z,true,63,Buena Vista,American Rivers,iii,3,0,3,0,0,2141,Coe,American Rivers,iii,14,0,7,7,0,false,5809,J. Leslie Rollins Stadium
2022,regular,2022-09-17T23:00:00.000Z,true,2400,Mississippi Valley State,SWAC,fcs,17,0,0,10,7,2170,Delta State,Gulf South,ii,28,5,13,7,3,false,3896,Rice-Totten Field
2022,regular,2022-09-17T23:00:00.000Z,true,2264,Harding,Great American,ii,37,7,10,6,14,2568,Southern Arkansas,Great American,ii,17,7,3,0,7,false,5885,First Security Stadium
2022,regular,2022-09-17T23:00:00.000Z,true,2876,Lincoln (MO),Mid America,ii,14,7,0,0,7,2231,Fort Hays State,Mid America,ii,51,3,17,21,10,false,6045,Dwight T. Reed Stadium
2022,regular,2022-09-17T23:00:00.000Z,true,2572,Southern Mississippi,Sun Belt,fbs,64,13,28,16,7,2466,Northwestern State,Southland,fcs,10,0,0,10,0,false,3815,M. M. Roberts Stadium
2022,regular,2022-09-17T23:00:00.000Z,true,152,NC State,ACC,fbs,27,6,14,0,7,2641,Texas Tech,Big 12,fbs,14,0,7,0,7,false,3670,Carter-Finley Stadium
2022,regular,2022-09-17T23:00:00.000Z,true,2320,Lamar,Southland,fcs,14,0,7,0,7,2458,Northern Colorado,Big Sky,fcs,21,7,7,7,0,false,3882,Provost Umphrey Stadium
2022,regular,2022-09-17T23:00:00.000Z,true,2247,Georgia State,Sun Belt,fbs,41,14,6,7,14,2429,Charlotte,Conference USA,fbs,42,7,14,7,14,false,4246,Georgia State Stadium
2022,regular,2022-09-17T23:00:00.000Z,true,332,Muskingum,Ohio,iii,37,7,21,0,9,424,Capital,Ohio,iii,7,0,0,0,7,false,6090,Sherman Field at McConagha Stadium
2022,regular,2022-09-17T23:00:00.000Z,true,202,Tulsa,American Athletic,fbs,54,12,28,7,7,55,Jacksonville State,Atlantic Sun,fcs,17,0,3,7,7,false,3674,Skelly Field at H. A. Chapman Stadium
2022,regular,2022-09-17T23:00:00.000Z,true,110243,University of Texas of the Permian Basin,Lone Star,ii,21,0,7,14,0,2025,Angelo State,Lone Star,ii,34,14,10,0,10,false,5917,Ratliff Stadium
2022,regular,2022-09-17T23:00:00.000Z,true,2393,Middle Tennessee,Conference USA,fbs,49,21,21,7,0,2634,Tennessee State,OVC,fcs,6,0,0,6,0,false,3725,"Johnny Red"""" Floyd Stadium"""""
2022,regular,2022-09-17T23:00:00.000Z,true,197,Oklahoma State,Big 12,fbs,63,28,21,7,7,2029,Arkansas-Pine Bluff,SWAC,fcs,7,0,7,0,0,false,3646,Boone Pickens Stadium
2022,regular,2022-09-17T23:00:00.000Z,true,8,Arkansas,SEC,fbs,38,0,14,3,21,2623,Missouri State,MVFC,fcs,27,7,10,7,3,false,3887,Donald W. Reynolds Razorback Stadium Frank Broyles Field
2022,regular,2022-09-17T23:00:00.000Z,true,2627,Tarleton State,Western Athletic,fcs,41,10,14,10,7,2201,Eastern New Mexico,Lone Star,ii,6,3,0,3,0,false,3827,"Memorial Stadium (Stephenville, TX)"
2022,regular,2022-09-17T23:00:00.000Z,true,2927,Southwestern Oklahoma,Great American,ii,48,15,12,7,14,199,Southeastern Oklahoma,Great American,ii,58,17,27,7,7,false,6073,Milam Stadium
2022,regular,2022-09-17T23:00:00.000Z,true,2838,Tiffin,Great Midwest Athletic,ii,20,10,7,3,0,2292,Indianapolis,Great Lakes,ii,27,7,0,0,20,false,3731,Frost-Kalnow Stadium
2022,regular,2022-09-17T23:00:00.000Z,true,235,Memphis,American Athletic,fbs,44,7,14,0,23,2032,Arkansas State,Sun Belt,fbs,32,7,10,0,15,false,3805,Liberty Bowl Memorial Stadium
2022,regular,2022-09-17T23:00:00.000Z,true,2271,Henderson State,Great American,ii,37,13,17,0,7,2028,Arkansas-Monticello,Great American,ii,27,0,7,0,20,false,5113,Ruggles Field at Carpenter-Haygood Stadium
2022,regular,2022-09-17T23:00:00.000Z,true,2633,Tennessee,SEC,fbs,63,14,21,14,14,2006,Akron,Mid-American,fbs,6,0,0,3,3,false,3853,Neyland Stadium
2022,regular,2022-09-17T23:00:00.000Z,true,194,Ohio State,Big Ten,fbs,77,28,14,14,21,2649,Toledo,Mid-American,fbs,21,7,7,7,0,false,3861,Ohio Stadium
2022,regular,2022-09-17T23:00:00.000Z,true,125,Grand Valley State,GLIAC,ii,66,21,21,17,7,124179,Lincoln University (CA),,,7,7,0,0,0,false,3811,Lubbers Stadium
2022,regular,2022-09-17T23:00:00.000Z,true,2033,Arkansas Tech,Great American,ii,14,7,0,0,7,2888,Ouachita Baptist,Great American,ii,63,21,28,14,0,false,5870,Thone Stadium at Buerkle Field
2022,regular,2022-09-17T23:00:00.000Z,true,2823,Northwestern Oklahoma State,Great American,ii,23,10,0,7,6,319,Oklahoma Baptist,Great American,ii,31,7,7,0,17,false,4763,Ranger Field
2022,regular,2022-09-17T23:30:00.000Z,true,2294,Iowa,Big Ten,fbs,27,14,3,3,7,2440,Nevada,Mountain West,fbs,0,0,0,0,0,false,3793,Kinnick Stadium
2022,regular,2022-09-17T23:30:00.000Z,true,242,Rice,Conference USA,fbs,33,3,10,6,14,309,Louisiana,Sun Belt,fbs,21,7,7,0,7,false,3895,Rice Stadium
2022,regular,2022-09-17T23:30:00.000Z,true,2711,Western Michigan,Mid-American,fbs,13,3,3,7,0,221,Pittsburgh,ACC,fbs,34,10,3,7,14,false,3980,Waldo Stadium
2022,regular,2022-09-17T23:30:00.000Z,true,103,Boston College,ACC,fbs,38,14,14,3,7,311,Maine,CAA,fcs,17,10,0,7,0,false,3615,Alumni Stadium
2022,regular,2022-09-17T23:30:00.000Z,true,264,Washington,Pac-12,fbs,39,9,20,7,3,127,Michigan State,Big Ten,fbs,28,0,8,6,14,false,3765,Husky Stadium
2022,regular,2022-09-17T23:30:00.000Z,true,2226,Florida Atlantic,Conference USA,fbs,14,14,0,0,0,2116,UCF,American Athletic,fbs,40,7,9,14,10,false,3715,FAU Stadium
2022,regular,2022-09-17T23:30:00.000Z,true,57,Florida,SEC,fbs,31,3,21,0,7,58,South Florida,American Athletic,fbs,28,7,6,8,7,false,3634,Ben Hill Griffin Stadium
2022,regular,2022-09-17T23:30:00.000Z,true,2193,East Tennessee State,Southern,fcs,14,7,0,7,0,231,Furman,Southern,fcs,27,3,10,7,7,false,5400,William B. Greene Jr. Stadium
2022,regular,2022-09-17T23:30:00.000Z,true,2287,Illinois State,MVFC,fcs,35,7,14,14,0,2197,Eastern Illinois,OVC,fcs,7,7,0,0,0,false,3744,Hancock Stadium
2022,regular,2022-09-17T23:30:00.000Z,true,120,Maryland,Big Ten,fbs,34,3,14,3,14,2567,SMU,American Athletic,fbs,27,6,14,7,0,false,3665,Maryland Stadium
2022,regular,2022-09-17T23:30:00.000Z,true,3066,Concordia-St. Paul,Northern Sun,ii,23,0,3,13,7,2894,Sioux Falls,Northern Sun,ii,44,7,13,17,7,false,5933,Sea Foam Stadium
2022,regular,2022-09-18T00:00:00.000Z,true,2123,Chadron State,Rocky Mountain,ii,23,3,7,0,13,2069,Black Hills State,Rocky Mountain,ii,32,0,10,13,9,false,5880,Elliott Field at Don Beebe Stadium
2022,regular,2022-09-18T00:00:00.000Z,true,2316,Kentucky Wesleyan,Great Midwest Athletic,ii,11,6,0,3,2,2402,Missouri S&T,Great Lakes,ii,6,0,0,0,6,false,5263,Steele Stadium
2022,regular,2022-09-18T00:00:00.000Z,true,2692,Weber State,Big Sky,fcs,44,21,3,13,7,3101,Utah Tech,Western Athletic,fcs,14,7,7,0,0,false,3942,Stewart Stadium
2022,regular,2022-09-18T00:00:00.000Z,true,2703,Western New Mexico,Lone Star,ii,35,14,7,7,7,2848,Western Oregon,Lone Star,ii,30,14,13,3,0,false,3633,Ben Altamirano Field
2022,regular,2022-09-18T00:00:00.000Z,true,2377,McNeese,Southland,fcs,19,0,3,14,2,2016,Alcorn State,SWAC,fcs,30,0,21,3,6,false,3686,Cowboy Stadium
2022,regular,2022-09-18T00:00:00.000Z,true,167,New Mexico,Mountain West,fbs,27,10,10,0,7,2638,UTEP,Conference USA,fbs,10,3,0,0,7,false,3971,University Stadium
2022,regular,2022-09-18T00:00:00.000Z,true,2395,Midwestern State,Lone Star,ii,28,0,7,0,21,2392,Michigan Tech,GLIAC,ii,21,0,14,7,0,false,6049,"Memorial Stadium (Wichita Falls, TX)"
2022,regular,2022-09-18T00:00:00.000Z,true,204,Oregon State,Pac-12,fbs,68,7,27,20,14,147,Montana State,Big Sky,fcs,28,7,7,7,7,false,3485,Providence Park
2022,regular,2022-09-18T00:00:00.000Z,true,2704,West Texas A&M,Lone Star,ii,24,,,,,2658,Texas A&M-Kingsville,Lone Star,ii,31,,,,,false,5884,Buffalo Stadium
2022,regular,2022-09-18T00:00:00.000Z,true,251,Texas,Big 12,fbs,41,0,17,14,10,2636,UT San Antonio,Conference USA,fbs,20,3,14,3,0,false,3910,Darrell K Royal-Texas Memorial Stadium
2022,regular,2022-09-18T00:00:00.000Z,true,90,Pittsburg State,Mid America,ii,49,21,21,7,0,196,Northeastern State,Mid America,ii,14,7,7,0,0,false,6067,Carnie Smith Stadium
2022,regular,2022-09-18T00:00:00.000Z,true,228,Clemson,ACC,fbs,48,10,3,21,14,2348,Louisiana Tech,Conference USA,fbs,20,0,6,0,14,false,3836,Memorial Stadium
2022,regular,2022-09-18T01:00:00.000Z,true,245,Texas A&M,SEC,fbs,17,10,0,7,0,2390,Miami,ACC,fbs,9,3,0,3,3,false,3795,Kyle Field
2022,regular,2022-09-18T02:00:00.000Z,true,2318,La Verne,So. Cal.,iii,0,0,0,0,0,2486,Pacific Lutheran,Northwest,iii,41,7,20,14,0,false,5909,Ortmayer Stadium
2022,regular,2022-09-18T02:00:00.000Z,true,302,UC Davis,Big Sky,fcs,43,14,21,8,0,301,San Diego,Pioneer,fcs,13,0,7,6,0,false,3602,Aggie Stadium
2022,regular,2022-09-18T02:00:00.000Z,true,205,Pacific (OR),Northwest,iii,23,0,3,7,7,2923,Pomona-Pitzer,So. Cal.,iii,20,0,10,7,0,false,6153,Hanson Stadium
2022,regular,2022-09-18T02:00:00.000Z,true,415,George Fox University,Northwest,iii,38,7,21,10,0,411,Chapman,So. Cal.,iii,28,7,7,7,7,false,5850,Stoffer Family Stadium
2022,regular,2022-09-18T02:00:00.000Z,true,254,Utah,Pac-12,fbs,35,0,21,14,0,21,San Diego State,Mountain West,fbs,7,0,0,0,7,false,587,Rice-Eccles Stadium
2022,regular,2022-09-18T02:30:00.000Z,true,30,USC,Pac-12,fbs,45,14,7,14,10,278,Fresno State,Mountain West,fbs,17,0,10,7,0,false,477,Los Angeles Memorial Coliseum
2022,regular,2022-09-18T03:00:00.000Z,true,9,Arizona State,Pac-12,fbs,21,0,14,0,7,2199,Eastern Michigan,Mid-American,fbs,30,10,14,3,3,false,3947,Sun Devil Stadium
2022,regular,2022-09-18T03:00:00.000Z,true,12,Arizona,Pac-12,fbs,31,7,10,7,7,2449,North Dakota State,MVFC,fcs,28,7,7,14,0,false,3619,Arizona Stadium
2022,regular,2022-09-18T03:59:00.000Z,true,62,Hawai'i,Mountain West,fbs,24,7,7,0,10,2184,Duquesne,NEC,fcs,14,3,3,0,8,false,7220,Clarence T.C. Ching Athletics Complex
2022,regular,2022-09-22T23:30:00.000Z,true,2247,Georgia State,Sun Belt,fbs,24,7,10,0,7,324,Coastal Carolina,Sun Belt,fbs,41,21,6,7,7,false,4246,Georgia State Stadium
2022,regular,2022-09-22T23:30:00.000Z,true,259,Virginia Tech,ACC,fbs,10,0,7,3,0,277,West Virginia,Big 12,fbs,33,3,10,3,17,false,3799,Lane Stadium
2022,regular,2022-09-23T00:30:00.000Z,true,356,Illinois,Big Ten,fbs,31,10,14,7,0,236,Chattanooga,Southern,fcs,0,0,0,0,0,false,3832,Memorial Stadium
2022,regular,2022-09-23T22:00:00.000Z,true,2060,Bentley,Northeast 10,ii,13,3,7,0,3,2441,New Haven,Northeast 10,ii,21,7,7,0,7,false,5876,Bentley University Football Stadium
2022,regular,2022-09-23T23:00:00.000Z,true,183,Syracuse,ACC,fbs,22,10,6,3,3,258,Virginia,ACC,fbs,20,0,0,13,7,false,1964,Carrier Dome
2022,regular,2022-09-23T23:00:00.000Z,true,118,Johns Hopkins,Centennial,iii,54,21,10,10,13,323,Moravian,Centennial,iii,0,0,0,0,0,false,5124,Homewood Field
2022,regular,2022-09-24T00:00:00.000Z,true,2005,Air Force,Mountain West,fbs,48,10,14,17,7,2440,Nevada,Mountain West,fbs,20,0,7,0,13,false,3713,Falcon Stadium
2022,regular,2022-09-24T01:00:00.000Z,true,2638,UTEP,Conference USA,fbs,27,0,10,10,7,68,Boise State,Mountain West,fbs,10,3,0,7,0,false,3946,Sun Bowl Stadium
2022,regular,2022-09-24T16:00:00.000Z,true,154,Wake Forest,ACC,fbs,45,7,7,21,3,228,Clemson,ACC,fbs,51,14,6,8,10,false,3630,BB&T Field
2022,regular,2022-09-24T16:00:00.000Z,true,221,Pittsburgh,ACC,fbs,45,14,10,7,14,227,Rhode Island,CAA,fcs,24,7,7,3,7,false,3752,Heinz Field
2022,regular,2022-09-24T16:00:00.000Z,true,2,Auburn,SEC,fbs,17,14,0,0,0,142,Missouri,SEC,fbs,14,0,14,0,0,false,3785,Jordan-Hare Stadium
2022,regular,2022-09-24T16:00:00.000Z,true,2304,Johnson C Smith,CIAA,ii,28,7,7,0,14,2339,Lincoln (PA),CIAA,ii,29,7,12,7,3,false,6041,Irwin Belk Complex
2022,regular,2022-09-24T16:00:00.000Z,true,110254,Davenport,GLIAC,ii,51,17,20,14,0,2886,Northwood (MI),Great Midwest Athletic,ii,17,0,3,14,0,false,5934,Farmers Insurance Athletic Complex
2022,regular,2022-09-24T16:00:00.000Z,true,2560,Shorter,Gulf South,ii,30,7,10,6,7,2673,Valdosta State,Gulf South,ii,34,0,3,21,10,false,4015,Barron Stadium
2022,regular,2022-09-24T16:00:00.000Z,true,109,MIT,NEWMAC,iii,35,0,21,14,0,110438,Dean College,ECFC,iii,6,6,0,0,0,false,5926,Henry G. Steinbrenner '27 Stadium
2022,regular,2022-09-24T16:00:00.000Z,true,223,West Chester,Pennsylvania State Athletic,ii,26,2,3,11,10,210,Millersville,Pennsylvania State Athletic,ii,14,14,0,0,0,false,4427,John A. Farrell Stadium
