collegeAthleteId,collegeId,collegeTeam,collegeConference,nflTeam,year,name
4361979,259,Virginia Tech,ACC,Buffalo,2022,Luke Tenuta
4362642,99,LSU,SEC,New England,2022,Chasen Hines
4249128,26,UCLA,Pac-12,Los Angeles,2022,Quentin Lake
4360307,61,Georgia,SEC,Los Angeles,2022,Derion Kendrick
4379401,61,Georgia,SEC,Atlanta,2022,John FitzPatrick
4240434,154,Wake Forest,ACC,Los Angeles,2022,Ja'Sir Taylor
4260223,259,Virginia Tech,ACC,Arizona,2022,Lecitus Smith
4037474,2132,Cincinnati,American Athletic,Indianapolis,2022,Curtis Brooks
4240608,2296,Jackson State,SWAC,Detroit,2022,James Houston
4034779,135,Minnesota,Big Ten,Tampa Bay,2022,Ko Kieft
4372051,145,Ole Miss,SEC,Tennessee,2022,Chance Campbell
4243541,2116,UCF,American Athletic,San Francisco,2022,Kalia Davis
4259590,213,Penn State,Big Ten,San Francisco,2022,Tariq Castro-Fields
4242149,8,Arkansas,SEC,Jacksonville,2022,Montaric Brown
4241404,201,Oklahoma,Big 12,Cleveland,2022,Isaiah Thomas
4035857,25,California,Pac-12,Miami,2022,Cameron Goode
4249342,145,Ole Miss,SEC,Pittsburgh,2022,Mark Robinson
4369950,2582,Southern,SWAC,Chicago,2022,Ja'Tyre Carter
4249624,2579,South Carolina,SEC,Minnesota,2022,Nick Muse
4240486,59,Georgia Tech,ACC,Green Bay,2022,Tariq Carpenter
4259305,164,Rutgers,Big Ten,Seattle,2022,Bo Melton
4244615,202,Tulsa,American Athletic,Washington,2022,Chris Paul
4239997,228,Clemson,ACC,Buffalo,2022,Baylon Spector
4242333,275,Wisconsin,Big Ten,Denver,2022,Faion Hicks
4401805,2331,Lenoir-Rhyne,South Atlantic,Seattle,2022,Dareke Young
4259762,2390,Miami,ACC,Green Bay,2022,Jonathan Ford
4365629,147,Montana State,Big Sky,Los Angeles,2022,Daniel Hardy
4690171,145,Ole Miss,SEC,Los Angeles,2022,Deane Leonard
4047846,9,Arizona State,Pac-12,Detroit,2022,Chase Lucas
4242001,194,Ohio State,Big Ten,Las Vegas,2022,Thayer Munford
4394516,43,Yale,Ivy,Indianapolis,2022,Rodney Thomas II
4035105,197,Oklahoma State,Big 12,Washington,2022,Christian Holmes
4044111,2571,South Dakota State,MVFC,Pittsburgh,2022,Chris Oladokun
4373017,239,Baylor,Big 12,Carolina,2022,Kalon Barnes
4697639,265,Washington State,Pac-12,Kansas City,2022,Jaylen Watson
4911023,2673,Valdosta State,Gulf South,Arizona,2022,Christian Matthew
4258207,130,Michigan,Big Ten,New England,2022,Andrew Stueber
4241848,2641,Texas Tech,Big 12,Cleveland,2022,Dawson Deaton
4036419,2306,Kansas State,Big 12,Miami,2022,Skylar Thompson
4035453,99,LSU,SEC,Tampa Bay,2022,Andre Anthony
4361429,213,Penn State,Big Ten,Green Bay,2022,Rasheed Walker
4036032,26,UCLA,Pac-12,Las Vegas,2022,Brittain Brown
4361529,164,Rutgers,Big Ten,Kansas City,2022,Isaih Pacheco
4241089,324,Coastal Carolina,Sun Belt,Cincinnati,2022,Jeffrey Gunter
4240071,2306,Kansas State,Big 12,Los Angeles,2022,Russ Yeast
4242402,25,California,Pac-12,Chicago,2022,Elijah Hicks
4240128,152,NC State,ACC,Chicago,2022,Trenton Gill
4361419,213,Penn State,Big Ten,Arizona,2022,Jesse Luketa
4241382,201,Oklahoma,Big 12,Arizona,2022,Marquis Hayes
4027873,158,Nebraska,Big Ten,Green Bay,2022,Samori Toure
4043625,276,Marshall,Conference USA,Kansas City,2022,Nazeeh Johnson
4260406,2509,Purdue,Big Ten,Los Angeles,2022,Zander Horvath
4046707,127,Michigan State,Big Ten,Los Angeles,2022,AJ Arcuri
4361741,66,Iowa State,Big 12,San Francisco,2022,Brock Purdy
