4431304,Kejon Owens,Florida International,Conference USA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,4,0,13,3.3,26,16,1,83,3.2
4361244,Devin Kaufusi,Utah,Pac-12,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4712328,Anthony Simpson,Arizona,Pac-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,39,18,0,342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,5,0,64,12.8,2,11,0,8,4
4428197,Quinton Patten,Charlotte,Conference USA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,9,0,88,9.8,0,0,0,0,0
4612994,Ray Leutele,New Mexico,Mountain West,1,3,1,5,0,1,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4602935,D.J. Justice,UCLA,Pac-12,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4600597,Montorie Foster,Michigan State,Big Ten,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,7,1,98,14,0,0,0,0,0
4682904,Zahir Abdus-Salaam,Western Michigan,Mid-American,0,0,0,1,0,0,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,10,18,4,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,4.6,12,7,0,32,0,1,0,-2,-2,46,16,0,100,2.2
4875653,Taren Schive,San José State,Mountain West,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,12,43,0.706,70,35,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4569951,Isaac Rex,BYU,FBS Independents,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,21,6,293,14,0,0,0,0,0
4685110,Anthony Smith,NC State,ACC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,2,1,58,29,0,0,0,0,0
4360331,Miles Kendrick,New Mexico,Mountain West,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,144,85,7,0.59,3,870,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,22,3,128,1.7
4709667,Courtney McBride,Florida Atlantic,Conference USA,1,3,1,14,0,5.5,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4382475,Jacob Slade,Michigan State,Big Ten,0,3,0.5,7,0,3.5,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4685983,Zeke Chapman,South Alabama,Sun Belt,0,1,0,2,0,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4360648,Hasaan Hypolite,Houston,American Athletic,0,0,0,16,0,0.5,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4874409,Nick Jones,Mississippi State,SEC,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
